date,video_id,video_title,content_category,impression_count,view_count,viewer_count,valid_viewer_count,complete_view_count,like_count,comment_count,share_count,collect_count,engaged_user_count,profile_visit_count,follow_count,active_user_count,new_user_count,return_user_count,next_day_active_user_count,day7_active_user_count,avg_watch_duration
2026-04-18,VID_1000,剧情短视频_1,剧情,7194,2342,2125,1549,578,121,48,26,65,937,338,125,1678,904,801,133,67,49.69
2026-04-19,VID_1001,知识短视频_2,知识,39375,17846,13497,11314,11538,668,185,321,416,4966,851,215,12624,2926,4699,753,359,22.98
2026-04-20,VID_1002,测评短视频_3,测评,29531,9593,8631,6301,3416,757,277,58,88,3348,1439,321,4344,3543,4021,1479,529,17.23
2026-04-21,VID_1003,搞笑短视频_4,搞笑,34481,6751,5741,3665,3258,844,105,24,103,2084,791,225,3424,1444,3107,148,165,51.69
2026-04-22,VID_1004,生活短视频_5,生活,8935,4141,3516,2153,2513,632,87,27,70,498,119,13,1998,1309,1330,210,199,13.78
2026-04-23,VID_1005,运动短视频_6,运动,29180,5754,5400,4392,3163,873,119,51,37,963,1051,386,4893,1465,1517,415,256,58.06
2026-04-24,VID_1006,剧情短视频_7,剧情,26159,8445,7078,4838,4432,962,139,52,56,787,712,67,5410,1073,4034,617,154,71.26
2026-04-25,VID_1007,知识短视频_8,知识,36814,12624,11169,5395,5596,1394,181,129,221,2921,2115,616,7790,994,5925,919,319,52.37
2026-04-26,VID_1008,测评短视频_9,测评,8587,3553,3084,2336,902,441,63,75,88,1291,213,19,1982,1480,975,210,157,10.96
2026-04-27,VID_1009,搞笑短视频_10,搞笑,16217,5254,4979,4016,3017,439,168,92,72,2039,905,246,2701,1959,1518,527,197,18.12
2026-04-28,VID_1010,生活短视频_11,生活,38096,14848,13546,7160,5273,808,81,119,110,4980,2644,701,10903,1776,5452,1861,650,55.22
2026-04-29,VID_1011,运动短视频_12,运动,11425,5090,3508,1752,3378,726,195,47,142,796,284,74,1793,1098,1591,78,305,47.34
2026-04-30,VID_1012,剧情短视频_13,剧情,11529,5438,4297,3282,1136,378,128,88,144,517,734,275,3314,1088,1502,445,365,24.36
2026-05-01,VID_1013,知识短视频_14,知识,46852,11463,10016,7778,2896,1950,181,70,320,1047,1312,175,5754,1999,2618,166,114,11.52
2026-05-02,VID_1014,测评短视频_15,测评,23175,9786,7516,4338,4425,595,130,83,184,3034,1312,126,5165,756,2626,369,242,69.04
2026-05-03,VID_1015,搞笑短视频_16,搞笑,30783,5837,5271,4275,4026,948,56,86,101,1985,856,271,4669,1446,1866,430,145,35.51
2026-05-04,VID_1016,生活短视频_17,生活,31396,9324,7085,4116,3633,1732,203,95,167,2364,570,245,6247,2508,3696,843,388,21.36
2026-05-05,VID_1017,运动短视频_18,运动,13930,5960,5412,2721,3022,1127,58,143,147,623,830,92,4151,2211,2803,591,155,48.67
2026-05-06,VID_1018,剧情短视频_19,剧情,10882,4091,3361,2138,1887,539,153,23,28,1218,557,145,1813,1197,1234,556,236,58.33
2026-05-07,VID_1019,知识短视频_20,知识,11050,2853,2166,1247,795,271,87,43,80,291,409,98,1843,609,759,458,97,64.14
2026-05-08,VID_1020,测评短视频_21,测评,44262,8797,7270,5266,1813,949,180,84,245,1803,1238,234,6191,919,4353,790,284,73.94
2026-05-09,VID_1021,搞笑短视频_22,搞笑,32942,13712,11587,5633,8892,2222,163,315,288,1051,821,109,5982,953,2556,1800,639,11.78
2026-05-10,VID_1022,生活短视频_23,生活,34449,17951,15826,11541,11111,2078,557,302,469,1501,1017,128,9018,6149,4387,1303,1846,11.6
2026-05-11,VID_1023,运动短视频_24,运动,40645,16116,10680,8583,8940,3168,339,326,331,1538,486,71,8091,1505,6177,813,991,70.08
2026-05-12,VID_1024,剧情短视频_25,剧情,10422,3682,2839,1816,955,378,97,62,54,367,219,42,1941,486,1235,81,143,22.89
2026-05-13,VID_1025,知识短视频_26,知识,9976,3780,3098,2264,1980,466,75,63,50,995,259,96,2263,1206,1718,486,269,28.75
2026-05-14,VID_1026,测评短视频_27,测评,27406,9527,6523,3123,5916,565,152,184,41,655,506,103,5689,2868,2275,356,140,71.26
2026-05-15,VID_1027,搞笑短视频_28,搞笑,42356,23218,20469,11757,12626,738,285,337,191,6979,1963,622,11762,8827,12192,3085,1025,37.58
2026-05-16,VID_1028,生活短视频_29,生活,42618,7757,6799,4239,3371,291,102,73,129,922,413,171,5193,1952,1588,598,586,52.23
