date,video_id,video_title,content_category,impression_count,view_count,viewer_count,valid_viewer_count,complete_view_count,like_count,comment_count,share_count,collect_count,engaged_user_count,profile_visit_count,follow_count,active_user_count,new_user_count,return_user_count,next_day_active_user_count,day7_active_user_count,avg_watch_duration,play_rate,valid_view_rate,completion_rate,engagement_user_rate,profile_visit_rate,follow_conversion_rate,new_user_ratio,next_day_retention_rate,day7_retention_rate
2026-04-18,VID_1000,剧情短视频_1,剧情,7194,2342,2125,1549,578,121,48,26,65,937,338,125,1678,904,801,133,67,49.69,0.3255,0.7289,0.2468,0.4409,0.1591,0.3698,0.4254,0.1471,0.0741
2026-04-19,VID_1001,知识短视频_2,知识,39375,17846,13497,11314,11538,668,185,321,416,4966,851,215,12624,2926,4699,753,359,22.98,0.4532,0.8383,0.6465,0.3679,0.0631,0.2526,0.2168,0.2573,0.1227
2026-04-20,VID_1002,测评短视频_3,测评,29531,9593,8631,6301,3416,757,277,58,88,3348,1439,321,4344,3543,4021,1479,529,17.23,0.3248,0.73,0.3561,0.3879,0.1667,0.2231,0.4105,0.4174,0.1493
2026-04-21,VID_1003,搞笑短视频_4,搞笑,34481,6751,5741,3665,3258,844,105,24,103,2084,791,225,3424,1444,3107,148,165,51.69,0.1958,0.6384,0.4826,0.363,0.1378,0.2845,0.2515,0.1025,0.1143
2026-04-22,VID_1004,生活短视频_5,生活,8935,4141,3516,2153,2513,632,87,27,70,498,119,13,1998,1309,1330,210,199,13.78,0.4635,0.6123,0.6069,0.1416,0.0338,0.1092,0.3723,0.1604,0.152
2026-04-23,VID_1005,运动短视频_6,运动,29180,5754,5400,4392,3163,873,119,51,37,963,1051,386,4893,1465,1517,415,256,58.06,0.1972,0.8133,0.5497,0.1783,0.1946,0.3673,0.2713,0.2833,0.1747
2026-04-24,VID_1006,剧情短视频_7,剧情,26159,8445,7078,4838,4432,962,139,52,56,787,712,67,5410,1073,4034,617,154,71.26,0.3228,0.6835,0.5248,0.1112,0.1006,0.0941,0.1516,0.575,0.1435
2026-04-25,VID_1007,知识短视频_8,知识,36814,12624,11169,5395,5596,1394,181,129,221,2921,2115,616,7790,994,5925,919,319,52.37,0.3429,0.483,0.4433,0.2615,0.1894,0.2913,0.089,0.9245,0.3209
2026-04-26,VID_1008,测评短视频_9,测评,8587,3553,3084,2336,902,441,63,75,88,1291,213,19,1982,1480,975,210,157,10.96,0.4138,0.7575,0.2539,0.4186,0.0691,0.0892,0.4799,0.1419,0.1061
2026-04-27,VID_1009,搞笑短视频_10,搞笑,16217,5254,4979,4016,3017,439,168,92,72,2039,905,246,2701,1959,1518,527,197,18.12,0.324,0.8066,0.5742,0.4095,0.1818,0.2718,0.3935,0.269,0.1006
2026-04-28,VID_1010,生活短视频_11,生活,38096,14848,13546,7160,5273,808,81,119,110,4980,2644,701,10903,1776,5452,1861,650,55.22,0.3898,0.5286,0.3551,0.3676,0.1952,0.2651,0.1311,1.0479,0.366
2026-04-29,VID_1011,运动短视频_12,运动,11425,5090,3508,1752,3378,726,195,47,142,796,284,74,1793,1098,1591,78,305,47.34,0.4455,0.4994,0.6637,0.2269,0.081,0.2606,0.313,0.071,0.2778
2026-04-30,VID_1012,剧情短视频_13,剧情,11529,5438,4297,3282,1136,378,128,88,144,517,734,275,3314,1088,1502,445,365,24.36,0.4717,0.7638,0.2089,0.1203,0.1708,0.3747,0.2532,0.409,0.3355
2026-05-01,VID_1013,知识短视频_14,知识,46852,11463,10016,7778,2896,1950,181,70,320,1047,1312,175,5754,1999,2618,166,114,11.52,0.2447,0.7766,0.2526,0.1045,0.131,0.1334,0.1996,0.083,0.057
2026-05-02,VID_1014,测评短视频_15,测评,23175,9786,7516,4338,4425,595,130,83,184,3034,1312,126,5165,756,2626,369,242,69.04,0.4223,0.5772,0.4522,0.4037,0.1746,0.096,0.1006,0.4881,0.3201
2026-05-03,VID_1015,搞笑短视频_16,搞笑,30783,5837,5271,4275,4026,948,56,86,101,1985,856,271,4669,1446,1866,430,145,35.51,0.1896,0.811,0.6897,0.3766,0.1624,0.3166,0.2743,0.2974,0.1003
2026-05-04,VID_1016,生活短视频_17,生活,31396,9324,7085,4116,3633,1732,203,95,167,2364,570,245,6247,2508,3696,843,388,21.36,0.297,0.5809,0.3896,0.3337,0.0805,0.4298,0.354,0.3361,0.1547
2026-05-05,VID_1017,运动短视频_18,运动,13930,5960,5412,2721,3022,1127,58,143,147,623,830,92,4151,2211,2803,591,155,48.67,0.4279,0.5028,0.507,0.1151,0.1534,0.1108,0.4085,0.2673,0.0701
